title,url,writers
Hancock ,https://imsdb.com/genre/Comedy/Movie s/Hancock .html,"Vincent Ngo, Vince Gilligan"
"Hangover, The ","https://imsdb.com/genre/Comedy/Movie s/Hangover, The .html","Jon Lucas, Scott Moore"
Hannah and Her Sisters ,https://imsdb.com/genre/Comedy/Movie s/Hannah and Her Sisters .html,Woody Allen
"Happy Birthday, Wanda June ","https://imsdb.com/genre/Comedy/Movie s/Happy Birthday, Wanda June .html",Kurt Vonnegut Jr.
Happy Feet ,https://imsdb.com/genre/Comedy/Movie s/Happy Feet .html,"George Miller, John Collee"
Hard to Kill,https://imsdb.com/genre/Romance/Movie Scripts/Hard to Kill Script.html,"Steven Pressfield, Ronald Shusett, Steven Seagal"
Harold and Kumar Go to White Castle ,https://imsdb.com/genre/Comedy/Movie s/Harold and Kumar Go to White Castle .html,"Jon Hurwitz, Hayden Schlossberg"
He's Just Not That Into You ,https://imsdb.com/genre/Comedy/Movie s/He's Just Not That Into You .html,"Abby Kohn, Marc Silverstein"
Heathers ,https://imsdb.com/genre/Comedy/Movie s/Heathers .html,Daniel Waters
Heavenly Creatures,https://imsdb.com/genre/Romance/Movie Scripts/Heavenly Creatures Script.html,"Fran Walsh, Peter Jackson"
"Hebrew Hammer, The ","https://imsdb.com/genre/Comedy/Movie s/Hebrew Hammer, The .html",Jonathan Kesselman
Henry Fool ,https://imsdb.com/genre/Comedy/Movie s/Henry Fool .html,Hal Hartley
Her,https://imsdb.com/genre/Romance/Movie Scripts/Her Script.html,Spike Jonze
High Fidelity ,https://imsdb.com/genre/Comedy/Movie s/High Fidelity .html,"Nick Hornby, D.V. DeVincentis"
His Girl Friday ,https://imsdb.com/genre/Comedy/Movie s/His Girl Friday .html,"Ben Hecht, Charles MacArthur"
"Hitchhiker's Guide to the Galaxy, The ","https://imsdb.com/genre/Comedy/Movie s/Hitchhiker's Guide to the Galaxy, The .html",Douglas Adams
Horrible Bosses ,https://imsdb.com/genre/Comedy/Movie s/Horrible Bosses .html,Michael Markowitz
"Horse Whisperer, The","https://imsdb.com/genre/Romance/Movie Scripts/Horse Whisperer, The Script.html",Eric Roth
"Hospital, The ","https://imsdb.com/genre/Comedy/Movie s/Hospital, The .html",Paddy Chayefsky
Hot Tub Time Machine ,https://imsdb.com/genre/Comedy/Movie s/Hot Tub Time Machine .html,Josh Heald
How to Train Your Dragon ,https://imsdb.com/genre/Comedy/Movie s/How to Train Your Dragon .html,"Dean DeBlois, Chris Sanders"
Hudson Hawk ,https://imsdb.com/genre/Comedy/Movie s/Hudson Hawk .html,"Steven E. De Souza, Daniel Waters"
"Hudsucker Proxy, The ","https://imsdb.com/genre/Comedy/Movie s/Hudsucker Proxy, The .html","Joel Coen, Ethan Coen, Sam Raimi"
Human Nature ,https://imsdb.com/genre/Comedy/Movie s/Human Nature .html,Charlie Kaufman
I Love You Phillip Morris ,https://imsdb.com/genre/Comedy/Movie s/I Love You Phillip Morris .html,"Glenn Ficarra, John Requa"
I'll Do Anything ,https://imsdb.com/genre/Comedy/Movie s/I'll Do Anything .html,James L. Brooks
In the Loop ,https://imsdb.com/genre/Comedy/Movie s/In the Loop .html,"Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche"
"Informant, The ","https://imsdb.com/genre/Comedy/Movie s/Informant, The .html","Scott Z. Burns, Kurt Eichenwald"
Into the Woods ,https://imsdb.com/genre/Comedy/Movie s/Into the Woods .html,"James Lapine, Stephen Sondheim"
Intolerable Cruelty,https://imsdb.com/genre/Romance/Movie Scripts/Intolerable Cruelty Script.html,"Matthew Stone, John Romano, Robert Ramsey, Ethan Coen, Joel Coen"
Inventing the Abbotts,https://imsdb.com/genre/Romance/Movie Scripts/Inventing the Abbotts Script.html,Ken Hixon
"Invention of Lying, The ","https://imsdb.com/genre/Comedy/Movie s/Invention of Lying, The .html","Ricky Gervais, Matthew Robinson"
It Happened One Night,https://imsdb.com/genre/Romance/Movie Scripts/It Happened One Night Script.html,"Samuel Hopkins Adams, Robert Riskin"
It's a Wonderful Life,https://imsdb.com/genre/Romance/Movie Scripts/It's a Wonderful Life Script.html,"Frank Capra, Frances Goodrich, Albert Hackett, Jo Swerling"
It's Complicated ,https://imsdb.com/genre/Comedy/Movie s/It's Complicated .html,Nancy Meyers
Jackie Brown ,https://imsdb.com/genre/Comedy/Movie s/Jackie Brown .html,Quentin Tarantino
Jane Eyre,https://imsdb.com/genre/Romance/Movie Scripts/Jane Eyre Script.html,Moira Buffini
